# schema=range-replay-measurement/v1
# complete=true
# cache_condition=warm_after_one_warmup_per_row
# data_file=/tmp/range-replay-vps.1fRZZs/data-2g.bin
# data_file_bytes=2147483648
# required_data_bytes=805502975
# logical_bytes_per_workload=268435456
# warmups_per_row=1
# measured_repetitions=8
# max_byte_budget_depth=16
# clock_ticks_per_second=100
workload	pattern	backend	submitted_depth	phase	repetition	logical_range_bytes	read_size_bytes	byte_budget_bytes	logical_bytes	physical_bytes	physical_operations	elapsed_ns	user_cpu_ticks	system_cpu_ticks	cpu_ns	throughput_bytes_per_second	output_sha256	bytes_equal_to_pread
sequential_4k	mostly_sequential	io_uring	16	measured	8	4096	4096	65536	268435456	268435456	65536	7715714518	741	30	7710000000	34790744	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	pread	1	measured	8	4096	4096	65536	268435456	268435456	65536	14361655501	1414	21	14350000000	18691122	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	1	measured	8	4096	4096	65536	268435456	268435456	65536	7662884642	741	25	7660000000	35030601	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
sequential_4k	mostly_sequential	io_uring	4	measured	8	4096	4096	65536	268435456	268435456	65536	8308325738	803	28	8310000000	32309211	7b65eec1ea0999a2c529a7c855c0d8223a23dd4c377fe818d7b6a6a666a83768	true
scattered_4k	scattered	pread	1	warmup	0	4096	4096	65536	268435456	268435456	65536	13271976108	1303	24	13270000000	20225733	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	warmup	0	4096	4096	65536	268435456	268435456	65536	7895904530	760	30	7900000000	33996796	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	warmup	0	4096	4096	65536	268435456	268435456	65536	7328174865	705	28	7330000000	36630601	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	warmup	0	4096	4096	65536	268435456	268435456	65536	7449603966	716	28	7440000000	36033520	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	pread	1	measured	1	4096	4096	65536	268435456	268435456	65536	14067196983	1387	19	14060000000	19082369	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	1	measured	1	4096	4096	65536	268435456	268435456	65536	7405538423	714	27	7410000000	36247932	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	4	measured	1	4096	4096	65536	268435456	268435456	65536	8983742726	868	31	8990000000	29880136	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
scattered_4k	scattered	io_uring	16	measured	1	4096	4096	65536	268435456	268435456	65536	7534003934	728	25	7530000000	35629853	dbbd46991ef730a6aedf93c1ff1a66654f7f368c3e8c51f5e12dd392cc904507	true
